i;Ii;Ji;ni
1;1;0;-0.17731742473213E-2
2;1;1;-0.17834862292358E-1
3;1;2;-0.45996013696365E-1
4;1;3;-0.57581259083432E-1
5;1;6;-0.50325278727930E-1
6;2;1;-0.33032641670203E-4
7;2;2;-0.18948987516315E-3
8;2;4;-0.39392777243355E-2
9;2;7;-0.43797295650573E-1
10;2;36;-0.26674547914087E-4
11;3;0;0.20481737692309E-7
12;3;1;0.43870667284435E-6
13;3;3;-0.32277677238570E-4
14;3;6;-0.15033924542148E-2
15;3;35;-0.40668253562649E-1
16;4;1;-0.78847309559367E-9
17;4;2;0.12790717852285E-7
18;4;3;0.48225372718507E-6
19;5;7;0.22922076337661E-5
20;6;3;-0.16714766451061E-10
21;6;16;-0.21171472321355E-2
22;6;35;-0.23895741934104E2
23;7;0;-0.59059564324270E-17
24;7;11;-0.12621808899101E-5
25;7;25;-0.38946842435739E-1
26;8;8;0.11256211360459E-10
27;8;36;-0.82311340897998E1
28;9;13;0.19809712802088E-7
29;10;4;0.10406965210174E-18
30;10;10;-0.10234747095929E-12
31;10;14;-0.10018179379511E-8
32;16;29;-0.80882908646985E-10
33;16;50;0.10693031879409
34;18;57;-0.33662250574171
35;20;20;0.89185845355421E-24
36;20;35;0.30629316876232E-12
37;20;48;-0.42002467698208E-5
38;21;21;-0.59056029685639E-25
39;22;53;0.37826947613457E-5
40;23;39;-0.12768608934681E-14
41;24;26;0.73087610595061E-28
42;24;40;0.55414715350778E-16
43;24;58;-0.94369707241210E-6
